,Company,Product,Inches,Cpu,Ram,Weight,Price_euros
59,Asus,X541UA-DM1897 ,15.6,Intel Core i3 6006U 2GHz,4GB,2kg,415.0
60,Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.8kg,1299.0
61,Dell,Vostro 5471,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.7kg,879.0
62,Lenovo,IdeaPad 520S-14IKB,14.0,Intel Core i3 7130U 2.7GHz,8GB,1.7kg,599.0
63,Asus,UX410UA-GV350T ,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.4kg,941.0
64,HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.86kg,690.0
65,Asus,ZenBook Pro,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,1.8kg,1983.0
66,HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,438.69
67,HP,Stream 14-AX040wm,14.0,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.44kg,229.0
68,Lenovo,V310-15ISK ,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,549.0
69,Asus,FX753VE-GC093 ,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,3kg,949.0
70,Microsoft,Surface Laptop,13.5,Intel Core i5 7200U 2.5GHz,4GB,1.252kg,1089.0
71,Dell,Inspiron 5370,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.4kg,955.0
72,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,870.0
73,MSI,GL72M 7RDX,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,2.7kg,1095.0
74,Acer,Aspire E5-475,14.0,Intel Core i3 6006U 2GHz,8GB,2.1kg,389.0
75,Asus,FX503VD-E4022T ,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.2kg,949.0
76,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,519.0
77,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.02kg,855.0
78,Acer,Aspire A515-51G-32MX,15.6,Intel Core i3 7130U 2.7GHz,4GB,2.2kg,530.0
79,HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,977.0
80,Dell,Latitude 5590,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.88kg,1096.16
81,Apple,"MacBook 12""",12.0,Intel Core i5 1.3GHz,8GB,0.92kg,1510.0
82,HP,ProBook 440,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.63kg,860.0
83,Lenovo,IdeaPad 320-15AST,15.6,AMD A6-Series 9220 2.5GHz,4GB,2.2kg,399.0
84,Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,395.0
85,Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1349.0
86,HP,Pavilion 15-CK000nv,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.83kg,699.0
87,HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.96kg,598.99
88,Asus,FX503VM-E4007T ,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.2kg,1449.0
89,Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.21kg,1649.0
90,Asus,FX550IK-DM018T ,15.6,AMD FX 9830P 3GHz,8GB,2.45kg,699.0
91,Acer,Aspire 5,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,689.0
92,HP,Probook 430,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.49kg,1197.0
93,Dell,Inspiron 7577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.65kg,1195.0
94,Asus,Zenbook UX430UA,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.25kg,1049.0
95,Acer,Spin 5,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.5kg,847.0
96,Dell,Inspiron 3567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,599.9
97,Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,485.0
98,Asus,X541UV-DM1439T ,15.6,Intel Core i3 7100U 2.4GHz,6GB,2kg,577.0
99,HP,Omen 15-ce007nv,15.6,Intel Core i7 7700HQ 2.8GHz,12GB,2.62kg,1249.0
100,HP,15-bs017nv ,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.91kg,719.0
101,HP,15-bw000nv ,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,2.1kg,349.0
102,Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,647.0
103,HP,Envy 13-ad009n,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.38kg,1119.0
104,Microsoft,Surface Laptop,13.5,Intel Core i5 7200U 2.5GHz,8GB,1.252kg,1340.0
105,HP,Pavilion 14-BK001nv,14.0,Intel Core i5 7200U 2.5GHz,6GB,1.58kg,659.0
106,Lenovo,Ideapad 310-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,1.85kg,414.9
107,Asus,UX430UQ-GV209R ,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.3kg,1193.0
108,MSI,GP62M 7REX,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.2kg,1299.0
109,Lenovo,Thinkpad T470,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.58kg,1480.0
110,Asus,VivoBook S15,15.6,Intel Core i7 8550U 1.8GHz,16GB,1.5kg,1262.0
111,Dell,XPS 13,13.3,Intel Core i7 7560U 2.4GHz,8GB,1.23kg,1379.0
112,Lenovo,ThinkPad Yoga,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.37kg,1399.0
113,HP,Probook 440,14.0,Intel Core i5 8250U 1.6GHz,4GB,1.63kg,722.0
114,Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.21kg,1629.0
115,HP,Spectre x360,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.26kg,1398.99
116,HP,Probook 440,14.0,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,1084.0
117,Dell,Inspiron 7570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.16kg,1130.33
118,Asus,X705UV-BX074T ,17.3,Intel Core i3 6006U 2GHz,4GB,2kg,564.0
119,Asus,VivoBook S15,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.7kg,1118.0
120,Acer,Spin 3,15.6,Intel Core i3 7100U 2.4GHz,6GB,2.1kg,479.0
121,MSI,GS63VR 7RG,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,1.8kg,2241.5
122,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,629.0
123,HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.5kg,1271.0
124,Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,451.0
125,HP,250 G6,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.86kg,259.0
126,HP,Probook 440,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.63kg,812.0
127,Asus,E402WA-GA007T ,14.0,AMD E-Series 6110 1.5GHz,4GB,1.65kg,277.99
128,Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.8kg,1396.0
129,HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,928.0
130,Dell,Inspiron 5567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.36kg,638.99
131,Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,449.0
132,Acer,Swift 3,14.0,Intel Core i7 8550U 1.8GHz,8GB,1.6kg,884.0
133,Acer,Aspire A515-51G-37JS,15.6,Intel Core i3 7130U 2.7GHz,4GB,2.2kg,572.0
134,HP,15-BS078nr ,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.05kg,598.0
135,HP,Probook 440,14.0,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,988.0
136,Lenovo,V110-15IAP ,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.9kg,252.36
137,Asus,FX753VD-GC086T ,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,3kg,938.0
138,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.2kg,499.0
139,HP,Envy 13-AD007nv,13.3,Intel Core i5 7200U 2.5GHz,4GB,1.32kg,699.0
140,Acer,Aspire 5,17.3,Intel Core i3 7130U 2.7GHz,4GB,3kg,655.0
141,Lenovo,ThinkPad E480,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.75kg,1116.02
142,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,869.0
143,Toshiba,Satellite Pro,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,602.0
144,HP,255 G6,15.6,AMD A6-Series 9220 2.5GHz,4GB,1.86kg,369.0
145,Asus,ZenBook UX430UA,14.0,Intel Core i7 8550U 1.8GHz,8GB,1.25kg,1099.0
146,HP,EliteBook Folio,12.5,Intel Core M 6Y75 1.2GHz,8GB,0.97kg,2014.0
147,Asus,X541NA ,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2kg,344.0
148,MSI,GE72MVR 7RG,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,2029.0
149,Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,447.0
150,Dell,Inspiron 5577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.56kg,1249.26
151,Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,899.0
152,Lenovo,V110-15IKB ,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,498.0
153,MSI,GE73VR 7RE,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,1890.0
154,HP,EliteBook 840,14.0,Intel Core i5 7500U 2.7GHz,4GB,1.48kg,1082.0
155,HP,15-BS103nv ,15.6,Intel Core i5 8250U 1.6GHz,6GB,1.91kg,619.0
156,Lenovo,Yoga 520-14IKB,14.0,Intel Core i3 7100U 2.4GHz,4GB,1.74kg,629.0
157,Asus,ZenBook Flip,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.1kg,1315.0
158,Dell,Inspiron 5579,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.56kg,1049.0
159,Toshiba,Satellite Pro,15.6,Intel Core i3 6006U 2.2GHz,4GB,2.1kg,447.0
160,Asus,X555BP-XX180T ,15.6,AMD A9-Series 9420 3GHz,4GB,2.03kg,403.0
161,Acer,Aspire A517-51G,17.3,Intel Core i5 8250U 1.6GHz,4GB,3kg,805.0
162,Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.13kg,728.0
163,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1079.0
164,Acer,Aspire A315-31,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.1kg,348.0
165,MSI,GE63VR 7RE,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1799.0
166,Acer,Aspire 3,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.1kg,363.51
167,Dell,Inspiron 5577,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.56kg,1060.49
168,Acer,Aspire A517-51G,17.3,Intel Core i5 8250U 1.6GHz,8GB,3kg,854.0
169,HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,754.0
170,Huawei,MateBook X,13.0,Intel Core i5 7200U 2.5GHz,8GB,1.05kg,1349.0
171,HP,17-bs001nv ,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.71kg,699.0
172,Lenovo,IdeaPad 320-15AST,15.6,AMD A6-Series 9220 2.9GHz,4GB,2.2kg,309.0
173,Toshiba,Satellite Pro,15.6,Intel Core i3 7100U 2.4GHz,4GB,2kg,489.0
174,HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,923.0
175,Dell,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.3kg,459.0
176,Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,449.0
177,MSI,GT80S 6QF-074US,18.4,Intel Core i7 6920HQ 2.9GHz,32GB,4.4kg,2799.0
178,Lenovo,V310-15IKB ,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.90kg,813.0
179,HP,Spectre x360,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.29kg,1499.0
180,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,16GB,2.02kg,1049.0
181,Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.23kg,1399.0
182,Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,16GB,1.4kg,1849.0
183,Toshiba,Satellite Pro,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,793.0
184,Xiaomi,Mi Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.95kg,1199.0
185,Dell,Inspiron 7773,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.77kg,1549.0
186,Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,2397.0
187,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,779.0
188,Acer,Swift 7,13.3,Intel Core i5 7Y54 1.2GHz,8GB,1.12kg,989.0
189,Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1085.0
190,Lenovo,Thinkpad Yoga,14.0,Intel Core i7 7500U 2.7GHz,16GB,1.42kg,2824.0
191,Vero,K147 ,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.3kg,260.0
192,Xiaomi,Mi Notebook,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.3kg,999.9
193,Lenovo,IdeaPad 320-17IKBR,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,698.0
194,Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.62kg,839.0
195,HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,914.0
196,Razer,Blade Pro,17.3,Intel Core i7 7820HK 2.9GHz,32GB,3.49kg,6099.0
197,HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.49kg,959.0
198,HP,Omen 17-W295,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3.35kg,1379.0
199,HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.5kg,1045.0
200,Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1845.0
201,Lenovo,V110-15ISK ,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,493.0
202,Acer,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.23kg,742.0
203,Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,3.2kg,1749.0
204,Dell,Precision 7520,15.6,Intel Xeon E3-1505M V6 3GHz,16GB,2.8kg,3055.0
205,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1398.0
206,Dell,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,6GB,2.3kg,439.0
207,Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.21kg,1949.0
208,Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.2kg,1449.0
209,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,597.0
210,Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,779.0
211,Asus,ROG GL703VD-GC028T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,1407.0
212,HP,15-bs018nq ,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,349.0
213,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,549.0
214,Huawei,MateBook X,13.0,Intel Core i7 7500U 2.7GHz,8GB,1.05kg,1499.0
215,Dell,Inspiron 5370,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.4kg,931.88
216,Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.8kg,589.0
217,HP,Probook 440,14.0,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,1031.0
218,Dell,Latitude 5490,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.6kg,1149.0
219,Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.62kg,1279.0
220,Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,677.35
221,Lenovo,Yoga 520-14IKB,14.0,Intel Core i5 8250U 1.6GHz,8GB,1.74kg,899.0
222,Toshiba,Portege Z30-C-16L,13.3,Intel Core i7 6500U 2.5GHz,8GB,1.2kg,1363.0
223,HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.1kg,794.0
224,Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.42kg,2456.34
225,Acer,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,832.0
226,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.3kg,859.01
227,Asus,Vivobook X541UV-DM1217T,15.6,Intel Core i5 7200U 2.5GHz,8GB,2kg,769.0
228,Asus,K756UX-T4340T ,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.69kg,891.0
229,HP,ZBook 15u,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.9kg,1269.0
230,Asus,Pro P2540UA-XO0198T,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.37kg,398.99
231,HP,15-rb013nv ,15.6,AMD E-Series 9000e 1.5GHz,4GB,2.1kg,330.0
232,Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,3.2kg,1499.0
233,Dell,Vostro 5468,14.0,Intel Core i5 7200U 2.5GHz,8GB,1.6kg,859.0
234,Acer,Aspire R7,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.6kg,689.0
235,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.36kg,899.0
236,Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,390.0
237,Asus,X555QG-DM242T ,15.6,AMD A10-Series A10-9620P 2.5GHz,4GB,2.2kg,575.0
238,Asus,ROG G703VI-E5062T,17.3,Intel Core i7 7820HK 2.9GHz,32GB,4.7kg,3890.0
239,Acer,Nitro AN515-51,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,846.0
240,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,8GB,2.2kg,589.0
241,Asus,VivoBook Pro,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,1145.0
242,Asus,F756UX-T4201D ,17.3,Intel Core i7 7500U 2.7GHz,8GB,2.69kg,889.0
243,Dell,Inspiron 5577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.56kg,879.0
244,Lenovo,Yoga 910-13IKB,13.9,Intel Core i7 7500U 2.7GHz,8GB,1.38kg,1079.0
245,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,985.0
246,HP,15-bs015dx ,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.04kg,559.0
247,Asus,Rog G701VIK-BA060T,17.3,Intel Core i7 7820HK 2.9GHz,16GB,3.6kg,2999.0
248,HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,675.0
249,Apple,MacBook Pro,13.3,Intel Core i5 3.1GHz,8GB,1.37kg,2040.0
250,Dell,Inspiron 5579,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.08kg,819.0
251,Asus,ROG G752VSK-GC493T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.3kg,1799.0
252,Asus,X505BP-BR019T ,15.6,AMD A9-Series 9420 3GHz,4GB,1.68kg,469.0
253,Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,8GB,1.37kg,1849.0
254,Acer,Aspire 5,17.3,Intel Core i3 7130U 2.7GHz,4GB,3kg,702.0
255,Dell,Vostro 5370,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.41kg,949.0
256,HP,15-BW094nd ,15.6,AMD A6-Series A6-9220 2.5GHz,8GB,1.91kg,445.9
257,HP,Envy 17-U275cl,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.9kg,1059.0
258,MSI,GT73EVR 7RE,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.14kg,2499.0
259,Lenovo,Yoga 720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1699.0
260,Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1142.0
261,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,444.0
262,HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.1kg,722.0
263,Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,657.0
