Company,Product,Inches,Cpu,Ram,Weight,Price_euros
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,3kg,938
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.2kg,499
HP,Envy 13-AD007nv,13.3,Intel Core i5 7200U 2.5GHz,4GB,1.32kg,699
Acer,Aspire 5,17.3,Intel Core i3 7130U 2.7GHz,4GB,3kg,655
Lenovo,ThinkPad E480,14,Intel Core i5 8250U 1.6GHz,8GB,1.75kg,1116.02
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,869
Toshiba,Satellite Pro,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,602
HP,255 G6,15.6,AMD A6-Series 9220 2.5GHz,4GB,1.86kg,369
Asus,ZenBook UX430UA,14,Intel Core i7 8550U 1.8GHz,8GB,1.25kg,1099
HP,EliteBook Folio,12.5,Intel Core M 6Y75 1.2GHz,8GB,0.97kg,2014
Asus,X541NA (N3350/4GB/1TB/FHD/W10),15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2kg,344
MSI,GE72MVR 7RG,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,2029
Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,447
Dell,Inspiron 5577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.56kg,1249.26
Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,899
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,498
MSI,GE73VR 7RE,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,1890
HP,EliteBook 840,14,Intel Core i5 7500U 2.7GHz,4GB,1.48kg,1082
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,15.6,Intel Core i5 8250U 1.6GHz,6GB,1.91kg,619
Lenovo,Yoga 520-14IKB,14,Intel Core i3 7100U 2.4GHz,4GB,1.74kg,629
Asus,ZenBook Flip,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.1kg,1315
Dell,Inspiron 5579,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.56kg,1049
Toshiba,Satellite Pro,15.6,Intel Core i3 6006U 2.2GHz,4GB,2.1kg,447
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,15.6,AMD A9-Series 9420 3GHz,4GB,2.03kg,403
Acer,Aspire A517-51G,17.3,Intel Core i5 8250U 1.6GHz,4GB,3kg,805
Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.13kg,728
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1079
Acer,Aspire A315-31,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.1kg,348
MSI,GE63VR 7RE,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1799
Acer,Aspire 3,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.1kg,363.51
Dell,Inspiron 5577,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.56kg,1060.49
Acer,Aspire A517-51G,17.3,Intel Core i5 8250U 1.6GHz,8GB,3kg,854
HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,754
Huawei,MateBook X,13,Intel Core i5 7200U 2.5GHz,8GB,1.05kg,1349
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.71kg,699
Lenovo,IdeaPad 320-15AST,15.6,AMD A6-Series 9220 2.9GHz,4GB,2.2kg,309
Toshiba,Satellite Pro,15.6,Intel Core i3 7100U 2.4GHz,4GB,2kg,489
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,923
Dell,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.3kg,459
Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,449
MSI,GT80S 6QF-074US,18.4,Intel Core i7 6920HQ 2.9GHz,32GB,4.4kg,2799
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.90kg,813
HP,Spectre x360,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.29kg,1499
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,16GB,2.02kg,1049
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.23kg,1399
Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,16GB,1.4kg,1849
Toshiba,Satellite Pro,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,793
Xiaomi,Mi Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.95kg,1199
Dell,Inspiron 7773,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.77kg,1549
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,2397
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,779
Acer,Swift 7,13.3,Intel Core i5 7Y54 1.2GHz,8GB,1.12kg,989
Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1085
Lenovo,Thinkpad Yoga,14,Intel Core i7 7500U 2.7GHz,16GB,1.42kg,2824
Vero,K147 (N3350/4GB/32GB/FHD/W10),14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.3kg,260
Xiaomi,Mi Notebook,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.3kg,999.9
Lenovo,IdeaPad 320-17IKBR,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,698
Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.62kg,839
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,914
Razer,Blade Pro,17.3,Intel Core i7 7820HK 2.9GHz,32GB,3.49kg,6099
HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.49kg,959
HP,Omen 17-W295,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3.35kg,1379
HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.5kg,1045
Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1845
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,493
Acer,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.23kg,742
Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,3.2kg,1749
Dell,Precision 7520,15.6,Intel Xeon E3-1505M V6 3GHz,16GB,2.8kg,3055
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1398
Dell,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,6GB,2.3kg,439
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.21kg,1949
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.2kg,1449
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,597
Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,779
Asus,ROG GL703VD-GC028T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,1407
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,349
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,549
Huawei,MateBook X,13,Intel Core i7 7500U 2.7GHz,8GB,1.05kg,1499
Dell,Inspiron 5370,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.4kg,931.88
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.8kg,589
HP,Probook 440,14,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,1031
Dell,Latitude 5490,14,Intel Core i5 8250U 1.6GHz,8GB,1.6kg,1149
Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.62kg,1279
Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,677.35
Lenovo,Yoga 520-14IKB,14,Intel Core i5 8250U 1.6GHz,8GB,1.74kg,899
Toshiba,Portege Z30-C-16L,13.3,Intel Core i7 6500U 2.5GHz,8GB,1.2kg,1363
HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.1kg,794
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.42kg,2456.34
Acer,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,832
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.3kg,859.01
Asus,Vivobook X541UV-DM1217T,15.6,Intel Core i5 7200U 2.5GHz,8GB,2kg,769
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.69kg,891
HP,ZBook 15u,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.9kg,1269
Asus,Pro P2540UA-XO0198T,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.37kg,398.99
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),15.6,AMD E-Series 9000e 1.5GHz,4GB,2.1kg,330
Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,3.2kg,1499
Dell,Vostro 5468,14,Intel Core i5 7200U 2.5GHz,8GB,1.6kg,859
Acer,Aspire R7,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.6kg,689
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.36kg,899
Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,390
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,15.6,AMD A10-Series A10-9620P 2.5GHz,4GB,2.2kg,575
Asus,ROG G703VI-E5062T,17.3,Intel Core i7 7820HK 2.9GHz,32GB,4.7kg,3890
Acer,Nitro AN515-51,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,846
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,8GB,2.2kg,589
Asus,VivoBook Pro,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,1145
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,17.3,Intel Core i7 7500U 2.7GHz,8GB,2.69kg,889
Dell,Inspiron 5577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.56kg,879
Lenovo,Yoga 910-13IKB,13.9,Intel Core i7 7500U 2.7GHz,8GB,1.38kg,1079
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,985
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),15.6,Intel Core i5 7200U 2.5GHz,8GB,2.04kg,559
Asus,Rog G701VIK-BA060T,17.3,Intel Core i7 7820HK 2.9GHz,16GB,3.6kg,2999
HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,675
Apple,MacBook Pro,13.3,Intel Core i5 3.1GHz,8GB,1.37kg,2040
Dell,Inspiron 5579,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.08kg,819
Asus,ROG G752VSK-GC493T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.3kg,1799
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,15.6,AMD A9-Series 9420 3GHz,4GB,1.68kg,469
Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,8GB,1.37kg,1849
Acer,Aspire 5,17.3,Intel Core i3 7130U 2.7GHz,4GB,3kg,702
Dell,Vostro 5370,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.41kg,949
HP,15-BW094nd (A6-9220/8GB/128GB/W10),15.6,AMD A6-Series A6-9220 2.5GHz,8GB,1.91kg,445.9
HP,Envy 17-U275cl,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.9kg,1059
MSI,GT73EVR 7RE,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.14kg,2499
Lenovo,Yoga 720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1699
Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1142
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,444
HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.1kg,722
Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,657
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.24kg,565
Dell,Inspiron 5579,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.67kg,799
Asus,ZenBook Flip,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.1kg,1499
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.2kg,467
HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.5kg,1018
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),15.6,Intel Core i7 8550U 1.8GHz,8GB,2.05kg,880
